Font: Xiaolai  Style: Regular
Point Size: 33   SP/PD Ratio: 15.2%

Characters included: 42244/43124
Missing characters: 880
Excluded characters: 0

Characters missing from font file:
----------------------------------------
ID: 5062	Hex: 13C6	Char [Ꮖ]
ID: 5101	Hex: 13ED	Char [Ꮽ]
ID: 5118	Hex: 13FE	Char [᏾]
ID: 5139	Hex: 1413	Char [ᐓ]
ID: 5142	Hex: 1416	Char [ᐖ]
ID: 5156	Hex: 1424	Char [ᐤ]
ID: 5183	Hex: 143F	Char [ᐿ]
ID: 5202	Hex: 1452	Char [ᑒ]
ID: 5204	Hex: 1454	Char [ᑔ]
ID: 5205	Hex: 1455	Char [ᑕ]
ID: 5229	Hex: 146D	Char [ᑭ]
ID: 5230	Hex: 146E	Char [ᑮ]
ID: 5258	Hex: 148A	Char [ᒊ]
ID: 5271	Hex: 1497	Char [ᒗ]
ID: 5302	Hex: 14B6	Char [ᒶ]
ID: 5352	Hex: 14E8	Char [ᓨ]
ID: 5373	Hex: 14FD	Char [ᓽ]
ID: 5495	Hex: 1577	Char [ᕷ]
ID: 5506	Hex: 1582	Char [ᖂ]
ID: 5524	Hex: 1594	Char [ᖔ]
ID: 5526	Hex: 1596	Char [ᖖ]
ID: 5591	Hex: 15D7	Char [ᗗ]
ID: 5642	Hex: 160A	Char [ᘊ]
ID: 5651	Hex: 1613	Char [ᘓ]
ID: 5657	Hex: 1619	Char [ᘙ]
ID: 5694	Hex: 163E	Char [ᘾ]
ID: 5703	Hex: 1647	Char [ᙇ]
ID: 5729	Hex: 1661	Char [ᙡ]
ID: 5778	Hex: 1692	Char [ᚒ]
ID: 5812	Hex: 16B4	Char [ᚴ]
ID: 5816	Hex: 16B8	Char [ᚸ]
ID: 5818	Hex: 16BA	Char [ᚺ]
ID: 5824	Hex: 16C0	Char [ᛀ]
ID: 5825	Hex: 16C1	Char [ᛁ]
ID: 5826	Hex: 16C2	Char [ᛂ]
ID: 5843	Hex: 16D3	Char [ᛓ]
ID: 5845	Hex: 16D5	Char [ᛕ]
ID: 5855	Hex: 16DF	Char [ᛟ]
ID: 5862	Hex: 16E6	Char [ᛦ]
ID: 5863	Hex: 16E7	Char [ᛧ]
ID: 5864	Hex: 16E8	Char [ᛨ]
ID: 5882	Hex: 16FA	Char [᛺]
ID: 5883	Hex: 16FB	Char [᛻]
